secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
139383,02JAN2013,TBF 130622C27000,1,22JUN2013,02JAN2013,C,27000,2.95,3.1,10,13,0.145368,0.851042,0.078628,4.709712,-0.801562,83464441,1,0,NA,NA
139383,02JAN2013,TBF 130622C28000,1,22JUN2013,02JAN2013,C,28000,2,2.35,2,0,0.133273,0.766376,0.113184,6.219523,-0.950899,83464442,1,0,NA,NA
139383,02JAN2013,TBF 130622C29000,1,22JUN2013,18DEC2012,C,29000,1.3,1.7,0,84,0.132477,0.634113,0.139824,7.637428,-1.137532,83464443,1,0,NA,NA
139383,02JAN2013,TBF 130622C30000,1,22JUN2013,02JAN2013,C,30000,0.95,1.2,15,65,0.144778,0.491517,0.135649,8.098579,-1.298493,83464444,1,0,NA,NA
139383,02JAN2013,TBF 130622C31000,1,22JUN2013,31DEC2012,C,31000,0.45,0.7,0,85,0.129797,0.342916,0.139456,7.466255,-1.068298,83464445,1,0,NA,NA
139383,02JAN2013,TBF 130622C32000,1,22JUN2013,18DEC2012,C,32000,0.2,0.6,0,50,0.142027,0.245373,0.109097,6.381917,-0.994351,83464446,1,0,NA,NA
139383,02JAN2013,TBF 130622C33000,1,22JUN2013,06DEC2012,C,33000,0.1,0.4,0,55,0.146636,0.165561,0.083562,5.05256,-0.8091,83464447,1,0,NA,NA
139383,02JAN2013,TBF 130622C34000,1,22JUN2013,,C,34000,0,0.3,0,0,0.149768,0.10718,0.060707,3.748663,-0.611617,83464448,1,0,NA,NA
139383,02JAN2013,TBF 130622C35000,1,22JUN2013,,C,35000,0,0.3,0,0,0.172829,0.095592,0.048403,3.445912,-0.647804,83464449,1,0,NA,NA
139383,02JAN2013,TBF 130622C36000,1,22JUN2013,,C,36000,0,0.25,0,0,0.186386,0.077123,0.038228,2.936366,-0.59414,83464450,1,0,NA,NA
139383,02JAN2013,TBF 130622C37000,1,22JUN2013,,C,37000,0,0.2,0,0,0.196765,0.060973,0.03021,2.448723,-0.522698,83464451,1,0,NA,NA
139383,02JAN2013,TBF 130622C38000,1,22JUN2013,,C,38000,0,0.2,0,0,0.215239,0.056657,0.026072,2.314741,-0.539222,83464452,1,0,NA,NA
139383,02JAN2013,TBF 130622C40000,1,22JUN2013,,C,40000,0,0.2,0,0,0.249825,0.050162,0.020398,2.100032,-0.567521,83531308,1,0,NA,NA
139383,02JAN2013,TBF 130622P20000,1,22JUN2013,,P,20000,0,0.15,0,0,0.32307,-0.02758,0.009681,1.288858,-0.444505,83614297,1,0,NA,NA
139383,02JAN2013,TBF 130622P22000,1,22JUN2013,,P,22000,0,0.15,0,0,0.256172,-0.034269,0.014614,1.542707,-0.421143,83464453,1,0,NA,NA
139383,02JAN2013,TBF 130622P23000,1,22JUN2013,,P,23000,0,0.2,0,0,0.237909,-0.047038,0.02035,1.990859,-0.50527,83464454,1,0,NA,NA
139383,02JAN2013,TBF 130622P24000,1,22JUN2013,,P,24000,0,0.2,0,0,0.205636,-0.053693,0.026165,2.213392,-0.484577,83464455,1,0,NA,NA
139383,02JAN2013,TBF 130622P25000,1,22JUN2013,,P,25000,0,0.2,0,0,0.174008,-0.062354,0.034777,2.495564,-0.460184,83464456,1,0,NA,NA
139383,02JAN2013,TBF 130622P26000,1,22JUN2013,,P,26000,0,0.3,0,0,0.158649,-0.095042,0.052529,3.433228,-0.576242,83464457,1,0,NA,NA
